"Survey_index","Net_name","Mesh_size","Length_FL","Maximal_girth","Catch_method"
1,"Net_20",20,16,94,"Wedged"
1,"Net_20",20,16,82,"Wedged"
1,"Net_20",20,18,116,"Wedged"
1,"Net_20",20,18,114,"Wedged"
1,"Net_20",20,22,102,"Wedged"
1,"Net_20",20,24,133,"Wedged"
1,"Net_20",20,26,140,"Wedged"
1,"Net_20",20,26,152,"Wedged"
1,"Net_20",20,26,136,"Wedged"
1,"Net_20",20,26,132,"Wedged"
1,"Net_20",20,26,140,"Wedged"
1,"Net_20",20,28,147,"Wedged"
1,"Net_20",20,28,179,"Wedged"
1,"Net_25",25,20,126,"Wedged"
1,"Net_25",25,22,117,"Wedged"
1,"Net_25",25,22,120,"Wedged"
1,"Net_25",25,24,142,"Wedged"
1,"Net_25",25,24,116,"Wedged"
1,"Net_25",25,24,136,"Wedged"
1,"Net_25",25,24,125,"Wedged"
1,"Net_25",25,24,124,"Wedged"
1,"Net_25",25,24,130,"Wedged"
1,"Net_25",25,26,114,"Wedged"
1,"Net_25",25,28,172,"Wedged"
1,"Net_25",25,28,172,"Wedged"
1,"Net_25",25,28,135,"Wedged"
1,"Net_25",25,34,173,"Wedged"
1,"Net_30",30,26,117,"Wedged"
1,"Net_30",30,26,138,"Wedged"
1,"Net_30",30,28,166,"Wedged"
1,"Net_30",30,28,159,"Wedged"
1,"Net_30",30,30,162,"Wedged"
1,"Net_30",30,34,230,"Wedged"
1,"Net_20",20,22,130,"Tangled"
1,"Net_20",20,22,125,"Tangled"
1,"Net_20",20,24,133,"Tangled"
1,"Net_20",20,24,108,"Tangled"
1,"Net_20",20,26,114,"Tangled"
1,"Net_20",20,26,177,"Tangled"
1,"Net_20",20,26,114,"Tangled"
1,"Net_20",20,28,152,"Tangled"
1,"Net_20",20,28,199,"Tangled"
1,"Net_20",20,30,185,"Tangled"
1,"Net_20",20,36,146,"Tangled"
1,"Net_25",25,22,129,"Tangled"
1,"Net_25",25,22,112,"Tangled"
1,"Net_25",25,24,155,"Tangled"
1,"Net_25",25,24,121,"Tangled"
1,"Net_25",25,24,137,"Tangled"
1,"Net_25",25,26,138,"Tangled"
1,"Net_25",25,26,141,"Tangled"
1,"Net_25",25,28,152,"Tangled"
1,"Net_25",25,36,189,"Tangled"
1,"Net_30",30,18,94,"Tangled"
1,"Net_30",30,20,110,"Tangled"
1,"Net_30",30,24,134,"Tangled"
1,"Net_30",30,28,136,"Tangled"
1,"Net_30",30,30,148,"Tangled"
2,"Net_20",20,16,75,"Wedged"
2,"Net_20",20,16,100,"Wedged"
2,"Net_20",20,18,94,"Wedged"
2,"Net_20",20,18,102,"Wedged"
2,"Net_20",20,22,125,"Wedged"
2,"Net_20",20,22,130,"Wedged"
2,"Net_20",20,22,126,"Wedged"
2,"Net_20",20,22,125,"Wedged"
2,"Net_20",20,24,124,"Wedged"
2,"Net_20",20,24,137,"Wedged"
2,"Net_20",20,24,134,"Wedged"
2,"Net_20",20,26,136,"Wedged"
2,"Net_20",20,26,113,"Wedged"
2,"Net_20",20,28,138,"Wedged"
2,"Net_25",25,22,108,"Wedged"
2,"Net_25",25,22,125,"Wedged"
2,"Net_25",25,22,122,"Wedged"
2,"Net_25",25,24,132,"Wedged"
2,"Net_25",25,24,136,"Wedged"
2,"Net_25",25,24,142,"Wedged"
2,"Net_25",25,24,125,"Wedged"
2,"Net_25",25,26,115,"Wedged"
2,"Net_25",25,26,138,"Wedged"
2,"Net_25",25,26,138,"Wedged"
2,"Net_25",25,26,134,"Wedged"
2,"Net_25",25,28,159,"Wedged"
2,"Net_25",25,28,135,"Wedged"
2,"Net_30",30,26,170,"Wedged"
2,"Net_30",30,28,125,"Wedged"
2,"Net_30",30,28,128,"Wedged"
2,"Net_30",30,30,188,"Wedged"
2,"Net_30",30,34,230,"Wedged"
2,"Net_20",20,16,75,"Tangled"
2,"Net_20",20,18,82,"Tangled"
2,"Net_20",20,20,119,"Tangled"
2,"Net_20",20,20,119,"Tangled"
2,"Net_20",20,24,114,"Tangled"
2,"Net_20",20,26,137,"Tangled"
2,"Net_20",20,26,140,"Tangled"
2,"Net_20",20,26,133,"Tangled"
2,"Net_20",20,26,114,"Tangled"
2,"Net_20",20,38,208,"Tangled"
2,"Net_20",20,40,240,"Tangled"
2,"Net_25",25,22,117,"Tangled"
2,"Net_25",25,22,123,"Tangled"
2,"Net_25",25,22,115,"Tangled"
2,"Net_25",25,24,130,"Tangled"
2,"Net_25",25,24,130,"Tangled"
2,"Net_25",25,24,132,"Tangled"
2,"Net_25",25,24,120,"Tangled"
2,"Net_25",25,24,121,"Tangled"
2,"Net_25",25,24,134,"Tangled"
2,"Net_25",25,26,138,"Tangled"
2,"Net_25",25,26,136,"Tangled"
2,"Net_25",25,26,133,"Tangled"
2,"Net_30",30,18,104,"Tangled"
2,"Net_30",30,26,133,"Tangled"
2,"Net_30",30,28,184,"Tangled"
2,"Net_30",30,28,172,"Tangled"
2,"Net_30",30,32,204,"Tangled"
2,"Net_30",30,34,178,"Tangled"
2,"Net_30",30,36,190,"Tangled"
2,"Net_30",30,36,209,"Tangled"
3,"Net_20",20,14,73,"Wedged"
3,"Net_20",20,16,75,"Wedged"
3,"Net_20",20,16,91,"Wedged"
3,"Net_20",20,16,94,"Wedged"
3,"Net_20",20,16,95,"Wedged"
3,"Net_20",20,16,75,"Wedged"
3,"Net_20",20,18,116,"Wedged"
3,"Net_20",20,18,114,"Wedged"
3,"Net_20",20,18,104,"Wedged"
3,"Net_20",20,20,105,"Wedged"
3,"Net_20",20,24,140,"Wedged"
3,"Net_20",20,24,112,"Wedged"
3,"Net_20",20,24,124,"Wedged"
3,"Net_20",20,26,141,"Wedged"
3,"Net_20",20,26,138,"Wedged"
3,"Net_20",20,26,143,"Wedged"
3,"Net_20",20,30,156,"Wedged"
3,"Net_25",25,22,129,"Wedged"
3,"Net_25",25,22,120,"Wedged"
3,"Net_25",25,22,112,"Wedged"
3,"Net_25",25,24,132,"Wedged"
3,"Net_25",25,24,134,"Wedged"
3,"Net_25",25,24,132,"Wedged"
3,"Net_25",25,26,137,"Wedged"
3,"Net_25",25,26,140,"Wedged"
3,"Net_25",25,26,152,"Wedged"
3,"Net_25",25,26,167,"Wedged"
3,"Net_25",25,30,156,"Wedged"
3,"Net_30",30,26,119,"Wedged"
3,"Net_30",30,26,195,"Wedged"
3,"Net_30",30,30,148,"Wedged"
3,"Net_20",20,18,101,"Tangled"
3,"Net_20",20,20,110,"Tangled"
3,"Net_20",20,22,140,"Tangled"
3,"Net_20",20,22,120,"Tangled"
3,"Net_20",20,24,132,"Tangled"
3,"Net_20",20,24,155,"Tangled"
3,"Net_20",20,24,128,"Tangled"
3,"Net_20",20,26,114,"Tangled"
3,"Net_20",20,28,131,"Tangled"
3,"Net_20",20,30,165,"Tangled"
3,"Net_20",20,34,230,"Tangled"
3,"Net_20",20,36,209,"Tangled"
3,"Net_20",20,40,250,"Tangled"
3,"Net_25",25,18,100,"Tangled"
3,"Net_25",25,20,105,"Tangled"
3,"Net_25",25,22,123,"Tangled"
3,"Net_25",25,22,108,"Tangled"
3,"Net_25",25,22,133,"Tangled"
3,"Net_25",25,22,113,"Tangled"
3,"Net_25",25,24,140,"Tangled"
3,"Net_25",25,24,121,"Tangled"
3,"Net_25",25,24,132,"Tangled"
3,"Net_25",25,24,140,"Tangled"
3,"Net_25",25,24,110,"Tangled"
3,"Net_25",25,26,143,"Tangled"
3,"Net_25",25,26,134,"Tangled"
3,"Net_25",25,26,130,"Tangled"
3,"Net_25",25,28,152,"Tangled"
3,"Net_25",25,30,172,"Tangled"
3,"Net_30",30,20,111,"Tangled"
3,"Net_30",30,26,119,"Tangled"
3,"Net_30",30,30,188,"Tangled"
3,"Net_30",30,32,172,"Tangled"
3,"Net_30",30,32,145,"Tangled"
3,"Net_30",30,38,148,"Tangled"
3,"Net_30",30,38,148,"Tangled"
4,"Net_20",20,16,95,"Wedged"
4,"Net_20",20,16,82,"Wedged"
4,"Net_20",20,16,94,"Wedged"
4,"Net_20",20,20,114,"Wedged"
4,"Net_20",20,20,115,"Wedged"
4,"Net_20",20,20,110,"Wedged"
4,"Net_20",20,22,106,"Wedged"
4,"Net_20",20,22,112,"Wedged"
4,"Net_20",20,22,129,"Wedged"
4,"Net_20",20,24,114,"Wedged"
4,"Net_20",20,24,108,"Wedged"
4,"Net_20",20,26,130,"Wedged"
4,"Net_20",20,26,141,"Wedged"
4,"Net_25",25,20,119,"Wedged"
4,"Net_25",25,22,129,"Wedged"
4,"Net_25",25,22,122,"Wedged"
4,"Net_25",25,22,112,"Wedged"
4,"Net_25",25,24,125,"Wedged"
4,"Net_25",25,24,134,"Wedged"
4,"Net_25",25,24,112,"Wedged"
4,"Net_25",25,24,133,"Wedged"
4,"Net_25",25,24,136,"Wedged"
4,"Net_25",25,24,137,"Wedged"
4,"Net_25",25,26,117,"Wedged"
4,"Net_25",25,26,140,"Wedged"
4,"Net_25",25,26,121,"Wedged"
4,"Net_25",25,28,104,"Wedged"
4,"Net_25",25,28,173,"Wedged"
4,"Net_30",30,22,113,"Wedged"
4,"Net_30",30,24,121,"Wedged"
4,"Net_30",30,26,152,"Wedged"
4,"Net_30",30,26,117,"Wedged"
4,"Net_30",30,28,115,"Wedged"
4,"Net_30",30,30,188,"Wedged"
4,"Net_30",30,30,140,"Wedged"
4,"Net_20",20,18,98,"Tangled"
4,"Net_20",20,20,103,"Tangled"
4,"Net_20",20,24,110,"Tangled"
4,"Net_20",20,24,113,"Tangled"
4,"Net_20",20,24,133,"Tangled"
4,"Net_20",20,26,140,"Tangled"
4,"Net_20",20,26,137,"Tangled"
4,"Net_20",20,26,115,"Tangled"
4,"Net_20",20,26,137,"Tangled"
4,"Net_20",20,26,134,"Tangled"
4,"Net_20",20,28,172,"Tangled"
4,"Net_20",20,28,166,"Tangled"
4,"Net_20",20,28,159,"Tangled"
4,"Net_25",25,20,126,"Tangled"
4,"Net_25",25,22,117,"Tangled"
4,"Net_25",25,22,102,"Tangled"
4,"Net_25",25,22,112,"Tangled"
4,"Net_25",25,22,113,"Tangled"
4,"Net_25",25,24,132,"Tangled"
4,"Net_25",25,24,138,"Tangled"
4,"Net_25",25,24,113,"Tangled"
4,"Net_25",25,26,143,"Tangled"
4,"Net_25",25,28,152,"Tangled"
4,"Net_25",25,28,178,"Tangled"
4,"Net_30",30,22,114,"Tangled"
4,"Net_30",30,24,128,"Tangled"
4,"Net_30",30,24,134,"Tangled"
4,"Net_30",30,26,117,"Tangled"
4,"Net_30",30,28,152,"Tangled"
4,"Net_30",30,30,140,"Tangled"
5,"Net_20",20,16,94,"Wedged"
5,"Net_20",20,18,82,"Wedged"
5,"Net_20",20,20,113,"Wedged"
5,"Net_20",20,20,103,"Wedged"
5,"Net_20",20,22,127,"Wedged"
5,"Net_20",20,22,127,"Wedged"
5,"Net_20",20,24,142,"Wedged"
5,"Net_20",20,24,113,"Wedged"
5,"Net_20",20,24,116,"Wedged"
5,"Net_20",20,24,133,"Wedged"
5,"Net_20",20,26,132,"Wedged"
5,"Net_20",20,26,138,"Wedged"
5,"Net_25",25,22,135,"Wedged"
5,"Net_25",25,22,115,"Wedged"
5,"Net_25",25,22,115,"Wedged"
5,"Net_25",25,22,125,"Wedged"
5,"Net_25",25,22,136,"Wedged"
5,"Net_25",25,22,126,"Wedged"
5,"Net_25",25,24,113,"Wedged"
5,"Net_25",25,24,110,"Wedged"
5,"Net_25",25,24,119,"Wedged"
5,"Net_25",25,24,132,"Wedged"
5,"Net_25",25,24,136,"Wedged"
5,"Net_25",25,24,136,"Wedged"
5,"Net_25",25,26,141,"Wedged"
5,"Net_25",25,26,117,"Wedged"
5,"Net_25",25,26,162,"Wedged"
5,"Net_25",25,26,138,"Wedged"
5,"Net_25",25,28,166,"Wedged"
5,"Net_25",25,32,193,"Wedged"
5,"Net_30",30,24,121,"Wedged"
5,"Net_30",30,26,136,"Wedged"
5,"Net_30",30,26,114,"Wedged"
5,"Net_30",30,26,143,"Wedged"
5,"Net_30",30,28,141,"Wedged"
5,"Net_30",30,28,166,"Wedged"
5,"Net_30",30,28,178,"Wedged"
5,"Net_30",30,30,142,"Wedged"
5,"Net_20",20,14,73,"Tangled"
5,"Net_20",20,16,80,"Tangled"
5,"Net_20",20,16,94,"Tangled"
5,"Net_20",20,18,105,"Tangled"
5,"Net_20",20,22,120,"Tangled"
5,"Net_20",20,22,122,"Tangled"
5,"Net_20",20,24,121,"Tangled"
5,"Net_20",20,24,116,"Tangled"
5,"Net_20",20,24,120,"Tangled"
5,"Net_20",20,24,120,"Tangled"
5,"Net_20",20,26,134,"Tangled"
5,"Net_20",20,26,138,"Tangled"
5,"Net_20",20,26,132,"Tangled"
5,"Net_20",20,26,132,"Tangled"
5,"Net_20",20,28,199,"Tangled"
5,"Net_20",20,28,115,"Tangled"
5,"Net_20",20,28,141,"Tangled"
5,"Net_20",20,28,104,"Tangled"
5,"Net_20",20,30,140,"Tangled"
5,"Net_20",20,30,142,"Tangled"
5,"Net_20",20,34,178,"Tangled"
5,"Net_25",25,16,95,"Tangled"
5,"Net_25",25,16,109,"Tangled"
5,"Net_25",25,16,94,"Tangled"
5,"Net_25",25,22,102,"Tangled"
5,"Net_25",25,22,114,"Tangled"
5,"Net_25",25,24,125,"Tangled"
5,"Net_25",25,26,138,"Tangled"
5,"Net_25",25,26,133,"Tangled"
5,"Net_25",25,36,191,"Tangled"
5,"Net_25",25,38,210,"Tangled"
5,"Net_30",30,22,114,"Tangled"
5,"Net_30",30,26,114,"Tangled"
5,"Net_30",30,26,113,"Tangled"
5,"Net_30",30,28,151,"Tangled"
5,"Net_30",30,36,210,"Tangled"
5,"Net_30",30,40,151,"Tangled"
6,"Net_20",20,16,75,"Wedged"
6,"Net_20",20,16,95,"Wedged"
6,"Net_20",20,16,94,"Wedged"
6,"Net_20",20,18,94,"Wedged"
6,"Net_20",20,20,119,"Wedged"
6,"Net_20",20,22,135,"Wedged"
