Mesh_size,Length_group,PWE
20,14,0.35
20,16,0.69
20,18,0.81
20,20,0.88
20,22,0.88
20,24,1.00
20,26,1.00
20,28,1.00
20,30,1.00
20,32,1.00
20,34,1.00
20,36,1.00
20,38,1.00
20,40,1.00
20,42,1.00
20,44,1.00
20,46,1.00
25,14,0.00
25,16,0.01
25,18,0.05
25,20,0.26
25,22,0.70
25,24,0.79
25,26,0.88
25,28,1.00
25,30,1.00
25,32,1.00
25,34,1.00
25,36,1.00
25,38,1.00
25,40,1.00
25,42,1.00
25,44,1.00
25,46,1.00
30,14,0.00
30,16,0.00
30,18,0.00
30,20,0.00
30,22,0.02
30,24,0.05
30,26,0.44
30,28,0.70
30,30,0.88
30,32,1.00
30,34,1.00
30,36,1.00
30,38,1.00
30,40,1.00
30,42,1.00
30,44,1.00
30,46,1.00
